FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.239     -19.75      203.337     19.75       203.337     -23.0       -16.5       65.532      341.087     16.5        23.0        341.087     65.532      -24.75      -19.75      -15.25      31.661      203.337     368.361     15.25       19.75       24.75       368.361     203.337     31.661      0.335       eq25
04X04       5.5         325.314     -20.75      156.392     20.75       156.392     -23.5       -17.5       66.135      264.459     17.5        23.5        264.459     66.135      -25.75      -21.25      -16.25      30.608      137.769     288.133     16.25       21.25       25.75       288.133     137.769     30.608      0.491       eq25
04X04       10.0        240.503     -21.25      130.397     21.25       130.397     -25.0       -18.0       45.513      202.002     18.0        25.0        202.002     45.513      -26.25      -20.25      -16.75      31.269      156.445     216.06      16.75       20.25       26.25       216.06      156.445     31.269      0.591       eq25
04X04       15.0        196.276     -22.75      102.578     22.75       102.578     -26.5       -19.5       38.924      159.861     19.5        26.5        159.861     38.924      -28.25      -20.75      -16.75      24.827      140.799     181.62      16.75       20.75       28.25       181.62      140.799     24.827      0.639       eq25
04X04       20.0        140.486     -24.25      68.659      24.25       68.659      -28.0       -21.0       26.542      109.428     21.0        28.0        109.428     26.542      -29.25      -21.75      -20.25      19.68       101.403     115.747     20.25       21.75       29.25       115.747     101.403     19.68       0.546       eq25
04X04       25.0        101.082     -24.75      55.631      24.75       55.631      -29.0       -21.0       20.853      85.003      21.0        29.0        85.003      20.853      -30.75      -24.25      -17.25      14.069      60.369      95.301      17.25       24.25       30.75       95.301      60.369      14.069      0.459       eq25
04X04       28.5        81.863      -25.75      43.059      25.75       43.059      -30.0       -23.0       16.258      62.116      23.0        30.0        62.116      16.258      -30.75      -26.75      -19.25      13.758      35.4        75.394      19.25       26.75       30.75       75.394      35.4        13.758      0.388       eq25
07X07       2.0         416.647     -31.75      210.997     31.75       210.997     -35.5       -28.5       60.654      340.161     28.5        35.5        340.161     60.654      -36.75      -31.75      -27.25      37.841      210.997     364.923     27.25       31.75       36.75       364.923     210.997     37.841      0.574       eq25
07X07       5.5         342.671     -33.25      166.308     33.25       166.308     -36.5       -30.0       64.644      268.97      30.0        36.5        268.97      64.644      -37.75      -31.75      -28.25      43.745      219.37      296.884     28.25       31.75       37.75       296.884     219.37      43.745      0.826       eq25
07X07       10.0        256.949     -34.75      130.237     34.75       130.237     -38.0       -32.0       57.142      192.951     32.0        38.0        192.951     57.142      -40.25      -35.75      -29.75      32.926      104.94      220.862     29.75       35.75       40.25       220.862     104.94      32.926      1.021       eq25
07X07       15.0        212.934     -36.75      107.645     36.75       107.645     -40.5       -33.5       45.933      163.057     33.5        40.5        163.057     45.933      -42.25      -36.75      -32.25      31.776      107.645     175.791     32.25       36.75       42.25       175.791     107.645     31.776      1.086       eq25
07X07       20.0        152.698     -38.25      82.334      38.25       82.334      -42.0       -35.0       37.877      118.91      35.0        42.0        118.91      37.877      -44.25      -37.75      -32.75      24.524      88.923      131.866     32.75       37.75       44.25       131.866     88.923      24.524      0.97        eq25
