FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.783     -19.75      222.597     19.75       222.597     -23.5       -16.5       62.068      359.483     16.5        23.5        359.483     62.068      -24.75      -19.75      -15.25      37.131      222.597     386.162     15.25       19.75       24.75       386.162     222.597     37.131      0.366       eq25
04X04       5.5         376.59      -20.75      186.752     20.75       186.752     -24.0       -17.5       69.817      305.933     17.5        24.0        305.933     69.817      -25.75      -20.25      -16.25      38.0        207.658     332.427     16.25       20.25       25.75       332.427     207.658     38.0        0.56        eq25
04X04       10.0        275.931     -21.75      139.23      21.75       139.23      -25.0       -18.5       56.834      222.625     18.5        25.0        222.625     56.834      -26.25      -20.75      -17.25      38.617      168.097     241.539     17.25       20.75       26.25       241.539     168.097     38.617      0.658       eq25
04X04       15.0        209.64      -22.75      110.445     22.75       110.445     -26.5       -19.5       42.55       169.709     19.5        26.5        169.709     42.55       -28.75      -22.25      -18.25      23.872      120.885     183.228     18.25       22.25       28.75       183.228     120.885     23.872      0.687       eq25
04X04       20.0        149.87      -23.75      81.322      23.75       81.322      -28.0       -20.5       29.239      121.528     20.5        28.0        121.528     29.239      -29.25      -22.75      -16.25      21.396      95.484      141.659     16.25       22.75       29.25       141.659     95.484      21.396      0.591       eq25
04X04       25.0        108.45      -24.75      60.163      24.75       60.163      -29.0       -21.5       22.961      87.908      21.5        29.0        87.908      22.961      -31.75      -24.75      -20.25      12.809      60.163      94.297      20.25       24.75       31.75       94.297      60.163      12.809      0.485       eq25
04X04       28.5        87.956      -26.25      42.808      26.25       42.808      -29.5       -23.0       20.321      66.781      23.0        29.5        66.781      20.321      -30.75      -26.25      -19.75      15.205      42.808      79.63       19.75       26.25       30.75       79.63       42.808      15.205      0.427       eq25
07X07       2.0         437.156     -31.75      222.63      31.75       222.63      -35.5       -28.5       66.525      354.709     28.5        35.5        354.709     66.525      -36.75      -32.25      -27.25      41.608      198.059     380.581     27.25       32.25       36.75       380.581     198.059     41.608      0.611       eq25
07X07       5.5         391.62      -33.25      187.72      33.25       187.72      -36.5       -29.5       74.78       314.863     29.5        36.5        314.863     74.78       -38.75      -33.75      -28.25      38.734      167.681     336.692     28.25       33.75       38.75       336.692     167.681     38.734      0.908       eq25
07X07       10.0        292.06      -34.75      146.138     34.75       146.138     -38.0       -31.5       65.356      225.72      31.5        38.0        225.72      65.356      -40.25      -35.25      -29.25      37.204      132.05      253.539     29.25       35.25       40.25       253.539     132.05      37.204      1.145       lt25
