FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
24X24       25.0        152.482     -146.25     59.855      146.25      59.855      -152.0      -142.5      31.094      79.771      141.5       151.0       83.233      34.26       -153.5      -148.0      -140.5      27.773      48.936      85.913      139.0       146.5       152.0       88.829      58.276      31.094      1.797       eq25
24X24       28.5        125.458     -151.25     46.701      151.25      46.701      -155.5      -148.0      28.826      61.565      147.0       154.5       65.018      32.094      -159.5      -152.0      13.0        21.88       42.981      124.647     -14.5       150.5       158.0       124.415     50.432      23.571      1.54        eq25
4X4         2.0         422.305     -20.25      200.295     20.25       200.295     -24.0       -17.0       62.412      332.311     16.0        23.0        359.589     89.964      -26.5       -21.0       -15.0       24.917      166.704     379.497     13.5        19.5        25.0        397.991     234.289     42.61       0.375       eq25
4X4         5.5         372.585     -20.75      189.995     20.75       189.995     -25.0       -18.0       59.646      283.108     17.0        24.0        307.839     81.955      -27.5       -21.5       -16.0       28.367      162.048     326.578     14.5        20.0        26.0        344.974     217.808     43.354      0.573       eq25
4X4         10.0        273.392     -21.75      141.893     21.75       141.893     -26.0       -19.0       49.336      207.124     18.0        25.0        224.684     65.538      -29.5       -23.0       -16.0       21.486      109.586     247.932     14.5        21.5        28.0        257.322     148.438     28.987      0.675       eq25
4X4         15.0        211.225     -23.25      103.413     23.25       103.413     -27.0       -19.5       43.045      167.338     18.5        26.0        178.713     55.787      -31.5       -24.0       -17.5       17.201      89.183      187.328     16.0        22.5        30.0        195.966     117.805     21.557      0.682       eq25
4X4         20.0        151.158     -24.25      76.433      24.25       76.433      -28.5       -20.5       29.835      120.267     19.5        27.5        128.036     38.056      -31.5       -26.0       -18.5       16.053      54.032      133.936     17.0        24.5        30.0        139.908     73.104      21.172      0.593       eq25
4X4         25.0        109.415     -25.25      56.933      25.25       56.933      -30.0       -22.0       20.869      84.086      21.0        29.0        90.114      26.28       -33.0       -25.5       -19.0       11.892      54.603      98.386      17.5        24.0        31.5        102.0       68.377      15.232      0.491       eq25
4X4         28.5        88.653      -26.25      44.44       26.25       44.44       -30.5       -22.0       18.443      71.613      21.0        29.5        75.679      23.089      -34.0       -27.5       -20.0       9.704       35.397      78.797      18.5        26.0        32.5        82.027      46.287      12.255      0.426       eq25
7X7         2.0         431.792     -32.25      198.703     32.25       198.703     -36.0       -29.0       65.778      326.023     28.0        35.0        352.673     92.478      -39.5       -32.5       -27.0       22.752      187.788     372.36      25.5        31.0        38.0        391.062     252.758     33.531      0.61        eq25
7X7         5.5         388.082     -33.25      190.851     33.25       190.851     -37.0       -30.0       74.969      294.488     29.0        36.0        316.075     99.547      -40.5       -34.5       -28.0       31.198      146.312     332.159     26.5        33.0        39.0        347.915     199.907     43.123      0.964       eq25
7X7         10.0        290.888     -34.75      148.349     34.75       148.349     -39.0       -32.0       57.311      211.575     31.0        38.0        228.553     73.462      -41.5       -36.0       -30.0       33.426      116.829     241.675     28.5        34.5        40.0        255.013     154.713     45.192      1.212       eq25
7X7         15.0        226.824     -36.75      113.472     36.75       113.472     -41.0       -33.0       47.533      174.303     32.0        40.0        184.929     59.232      -44.5       -38.0       -32.5       26.221      90.544      179.964     31.0        36.5        43.0        192.94      118.132     32.268      1.151       eq25
7X7         20.0        163.42      -38.75      80.237      38.75       80.237      -43.0       -34.5       35.328      127.232     33.5        42.0        134.102     43.229      -46.5       -40.0       -34.5       20.75       64.497      127.232     33.0        38.5        45.0        136.916     83.453      24.954      1.079       eq25
7X7         25.0        118.969     -40.25      61.932      40.25       61.932      -45.0       -37.5       26.395      84.708      36.5        44.0        91.046      31.834      -48.5       -43.0       -35.5       16.181      38.566      96.166      34.0        41.5        47.0        101.729     50.769      19.166      0.935       lt25
7X7         28.5        96.628      -41.75      48.338      41.75       48.338      -46.5       -38.0       20.965      72.198      37.0        45.5        76.628      25.082      -49.5       -43.0       -36.5       13.908      39.557      78.48       35.0        41.5        48.0        82.779      50.129      16.593      0.828       lt25
