FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
15X15       15.0        242.91      -82.75      113.69      82.75       113.69      -87.5       -80.0       48.673      153.04      80.0        87.5        153.04      48.673      -86.75      -86.25      -79.75      55.602      61.072      155.52      79.75       86.25       86.75       155.52      61.072      55.602      2.032       eq25
15X15       20.0        179.42      -87.75      74.334      87.75       74.334      -90.5       -84.0       46.718      112.6       84.0        90.5        112.6       46.718      -90.75      -90.25      -83.75      44.984      48.916      114.225     83.75       90.25       90.75       114.225     48.916      44.984      1.767       eq25
15X15       25.0        132.62      -90.25      68.098      90.25       68.098      -95.0       -87.5       34.238      85.457      87.5        95.0        85.457      34.238      -95.25      -94.75      -87.25      33.145      35.63       86.436      87.25       94.75       95.25       86.436      35.63       33.145      1.531       eq25
15X15       28.5        108.28      -93.75      50.643      93.75       50.643      -98.0       -89.5       27.556      71.615      89.5        98.0        71.615      27.556      -98.25      -98.75      -89.25      26.737      25.154      72.261      89.25       98.75       98.25       72.261      25.154      26.737      1.301       eq25
20X20       2.0         436.21      -96.25      169.325     96.25       169.325     -100.0      -93.0       56.097      269.93      93.0        100.0       269.93      56.097      -100.25     -99.75      -92.75      52.633      61.638      274.065     92.75       99.75       100.25      274.065     61.638      52.633      1.417       eq25
20X20       5.5         371.23      -100.25     140.935     100.25      140.935     -104.0      -97.0       56.618      219.46      97.0        104.0       219.46      56.618      -104.25     -101.75     -96.75      53.76       101.073     223.205     96.75       101.75      104.25      223.205     101.073     53.76       1.775       eq25
20X20       10.0        290.86      -105.25     110.955     105.25      110.955     -108.5      -100.5      57.023      181.88      100.5       108.5       181.88      57.023      -108.75     -108.25     -100.25     54.579      60.346      183.28      100.25      108.25      108.75      183.28      60.346      54.579      1.975       eq25
20X20       15.0        250.07      -110.75     107.25      110.75      107.25      -114.5      -108.0      57.734      142.05      108.0       114.5       142.05      57.734      -114.75     -114.25     -107.75     55.578      60.53       144.175     107.75      114.25      114.75      144.175     60.53       55.578      2.254       eq25
20X20       20.0        186.74      -116.75     75.527      116.75      75.527      -120.5      -112.0      42.953      112.82      112.0       120.5       112.82      42.953      -121.75     -119.25     -111.75     37.035      52.02       113.745     111.75      119.25      121.75      113.745     52.02       37.035      1.98        eq25
20X20       25.0        138.81      -122.25     56.435      122.25      56.435      -126.0      -118.5      33.647      79.064      118.5       126.0       79.064      33.647      -126.25     -125.75     -118.25     32.753      34.877      79.972      118.25      125.75      126.25      79.972      34.877      32.753      1.655       eq25
20X20       28.5        113.78      -126.25     44.345      126.25      44.345      -129.0      -122.0      30.736      64.686      122.0       129.0       64.686      30.736      -131.25     -124.75     -118.25     24.133      52.486      72.122      118.25      124.75      131.25      72.122      52.486      24.133      1.412       eq25
24X24       2.0         441.11      -116.25     162.715     116.25      162.715     -120.0      -113.0      56.633      253.43      113.0       120.0       253.43      56.633      -120.25     -119.75     -112.75     53.27       61.993      257.05      112.75      119.75      120.25      257.05      61.993      53.27       1.567       eq25
24X24       5.5         375.16      -120.75     143.05      120.75      143.05      -125.0      -118.0      54.248      202.96      118.0       125.0       202.96      54.248      -126.25     -122.75     -116.75     43.352      94.368      218.5       116.75      122.75      126.25      218.5       94.368      43.352      1.906       eq25
24X24       10.0        295.42      -126.25     121.26      126.25      121.26      -130.5      -123.5      54.493      161.01      123.5       130.5       161.01      54.493      -130.75     -130.25     -123.25     52.39       57.594      163.025     123.25      130.25      130.75      163.025     57.594      52.39       2.102       eq25
24X24       15.0        256.08      -134.25     98.715      134.25      98.715      -138.0      -130.5      53.997      139.32      130.5       138.0       139.32      53.997      -136.25     -136.75     -130.25     72.487      66.659      140.795     130.25      136.75      136.25      140.795     66.659      72.487      2.335       eq25
24X24       20.0        189.95      -141.75     65.614      141.75      65.614      -145.0      -138.5      41.096      93.394      138.5       145.0       93.394      41.096      -145.25     -144.75     -136.25     39.914      42.61       105.34      136.25      144.75      145.25      105.34      42.61       39.914      2.008       eq25
24X24       25.0        /
24X24       28.5        116.64      -152.25     43.984      152.25      43.984      -156.5      -148.0      26.227      61.765      148.0       156.5       61.765      26.227      -156.75     -156.25     -147.75     25.638      26.986      62.347      147.75      156.25      156.75      62.347      26.986      25.638      1.467       eq25
