FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
15X15       15.0        270.34      -82.25      115.275     82.25       115.275     -85.75      -78.25      58.887      179.615     78.25       85.75       179.615     58.887      -88.25      -82.25      -75.75      41.409      115.275     196.755     75.75       82.25       88.25       196.755     115.275     41.409      2.173       eq25
15X15       20.0        199.97      -86.25      87.275      86.25       87.275      -89.75      -82.25      47.757      131.62      82.25       89.75       131.62      47.757      -92.75      -86.25      -79.25      33.257      87.275      145.56      79.25       86.25       92.75       145.56      87.275      33.257      1.939       eq25
15X15       25.0        149.47      -90.25      66.432      90.25       66.432      -94.25      -86.25      35.245      97.605      86.25       94.25       97.605      35.245      -96.75      -90.25      -83.25      27.166      66.432      107.59      83.25       90.25       96.75       107.59      66.432      27.166      1.638       eq25
15X15       28.5        121.38      -92.75      56.198      92.75       56.198      -96.75      -88.75      30.873      80.259      88.75       96.75       80.259      30.873      -99.75      -92.75      -86.25      22.901      56.198      86.979      86.25       92.75       99.75       86.979      56.198      22.901      1.403       eq25
20X20       2.0         483.99      -95.75      195.915     95.75       195.915     -99.25      -92.75      72.445      299.065     92.75       99.25       299.065     72.445      -101.25     -95.75      -90.75      41.503      195.915     330.605     90.75       95.75       101.25      330.605     195.915     41.503      1.528       eq25
20X20       5.5         480.99      -99.25      192.79      99.25       192.79      -102.75     -96.25      83.12       287.08      96.25       102.75      287.08      83.12       -105.25     -99.25      -93.75      49.224      192.79      323.88      93.75       99.25       105.25      323.88      192.79      49.224      2.198       eq25
20X20       10.0        373.43      -104.25     149.655     104.25      149.655     -107.75     -100.75     72.998      223.675     100.75      107.75      223.675     72.998      -110.25     -104.25     -98.25      48.935      149.655     246.955     98.25       104.25      110.25      246.955     149.655     48.935      2.47        eq25
20X20       15.0        280.02      -109.75     112.52      109.75      112.52      -113.25     -106.25     60.62       164.045     106.25      113.25      164.045     60.62       -116.25     -109.75     -103.25     41.853      112.52      183.425     103.25      109.75      116.25      183.425     112.52      41.853      2.425       eq25
20X20       20.0        208.82      -115.25     84.446      115.25      84.446      -118.75     -111.25     48.447      123.425     111.25      118.75      123.425     48.447      -121.75     -115.25     -108.75     35.112      84.446      134.335     108.75      115.25      121.75      134.335     84.446      35.112      2.159       eq25
20X20       25.0        156.45      -120.75     63.243      120.75      63.243      -124.75     -116.75     35.806      91.099      116.75      124.75      91.099      35.806      -127.25     -120.75     -113.75     28.521      63.243      100.171     113.75      120.75      127.25      100.171     63.243      28.521      1.816       eq25
20X20       28.5        128.23      -124.25     52.7        124.25      52.7        -128.25     -120.25     30.455      74.459      120.25      128.25      74.459      30.455      -131.25     -124.25     -117.25     23.638      52.7        81.578      117.25      124.25      131.25      81.578      52.7        23.638      1.618       lt25
24X24       2.0         /
24X24       5.5         486.64      -120.25     178.305     120.25      178.305     -123.75     -116.75     78.311      274.66      116.75      123.75      274.66      78.311      -126.25     -120.25     -114.25     48.414      178.305     303.605     114.25      120.25      126.25      303.605     178.305     48.414      2.34        eq25
24X24       10.0        379.93      -126.25     139.085     126.25      139.085     -129.75     -122.75     69.769      208.205     122.75      129.75      208.205     69.769      -132.25     -126.25     -120.25     48.425      139.085     230.01      120.25      126.25      132.25      230.01      139.085     48.425      2.61        eq25
24X24       15.0        286.98      -132.75     107.8       132.75      107.8       -136.25     -129.25     59.938      154.52      129.25      136.25      154.52      59.938      -139.25     -132.75     -126.25     42.282      107.8       171.725     126.25      132.75      139.25      171.725     107.8       42.282      2.535       eq25
24X24       20.0        214.97      -139.25     83.191      139.25      83.191      -143.25     -135.75     46.012      114.82      135.75      143.25      114.82      46.012      -146.25     -139.25     -132.75     34.798      83.191      126.865     132.75      139.25      146.25      126.865     83.191      34.798      2.505       lt25
24X24       25.0        161.62      -146.25     59.801      146.25      59.801      -149.75     -142.25     37.102      85.59       142.25      149.75      85.59       37.102      -152.75     -146.25     -139.25     28.501      59.801      94.151      139.25      146.25      152.75      94.151      59.801      28.501      1.88        eq25
24X24       28.5        132.53      -150.25     51.079      150.25      51.079      -154.25     -146.25     30.552      70.732      146.25      154.25      70.732      30.552      -157.25     -150.25     -143.25     23.861      51.079      77.003      143.25      150.25      157.25      77.003      51.079      23.861      1.637       eq25
