FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
15X15       15.0        242.91      -83.25      105.465     83.25       105.465     -86.75      -79.25      55.602      160.315     79.25       86.75       160.315     55.602      -89.75      -83.25      -76.25      37.584      105.465     177.345     76.25       83.25       89.75       177.345     105.465     37.584      2.006       eq25
15X15       20.0        179.42      -87.25      79.993      87.25       79.993      -91.25      -83.25      41.593      117.42      83.25       91.25       117.42      41.593      -94.25      -87.25      -80.25      30.412      79.993      129.3       80.25       87.25       94.25       129.3       79.993      30.412      1.792       eq25
15X15       25.0        132.62      -91.25      60.291      91.25       60.291      -95.25      -87.25      33.145      86.436      87.25       95.25       86.436      33.145      -98.25      -91.25      -84.25      24.662      60.291      94.812      84.25       91.25       98.25       94.812      60.291      24.662      1.506       eq25
15X15       28.5        108.28      -93.75      50.643      93.75       50.643      -98.25      -89.75      26.737      70.766      89.75       98.25       70.766      26.737      -101.25     -93.75      -86.75      20.464      50.643      77.214      86.75       93.75       101.25      77.214      50.643      20.464      1.301       eq25
20X20       2.0         436.21      -96.25      169.325     96.25       169.325     -99.25      -93.25      72.904      263.835     93.25       99.25       263.835     72.904      -101.75     -96.25      -90.75      37.058      169.325     297.875     90.75       96.25       101.75      297.875     169.325     37.058      1.417       eq25
20X20       5.5         371.23      -100.25     140.935     100.25      140.935     -103.25     -96.75      68.66       223.205     96.75       103.25      223.205     68.66       -105.75     -100.25     -94.25      41.496      140.935     247.545     94.25       100.25      105.75      247.545     140.935     41.496      1.775       eq25
20X20       10.0        290.86      -105.25     110.955     105.25      110.955     -108.75     -101.75     54.579      169.65      101.75      108.75      169.65      54.579      -111.25     -105.25     -99.25      38.805      110.955     188.515     99.25       105.25      111.25      188.515     110.955     38.805      1.975       eq25
20X20       15.0        250.07      -111.25     100.049     111.25      100.049     -115.25     -107.25     51.353      148.35      107.25      115.25      148.35      51.353      -117.75     -111.25     -104.75     39.005      100.049     160.945     104.75      111.25      117.75      160.945     100.049     39.005      2.229       eq25
20X20       20.0        186.74      -116.75     75.527      116.75      75.527      -120.75     -112.75     41.612      109.04      112.75      120.75      109.04      41.612      -123.75     -116.75     -109.75     31.742      75.527      119.655     109.75      116.75      123.75      119.655     75.527      31.742      1.98        eq25
20X20       25.0        138.81      -122.25     56.435      122.25      56.435      -126.25     -118.25     32.753      79.972      118.25      126.25      79.972      32.753      -129.25     -122.25     -115.25     25.568      56.435      87.901      115.25      122.25      129.25      87.901      56.435      25.568      1.655       eq25
20X20       28.5        113.78      -125.75     47.084      125.75      47.084      -129.75     -121.75     28.041      65.46       121.75      129.75      65.46       28.041      -133.25     -125.75     -118.75     21.274      47.084      71.547      118.75      125.75      133.25      71.547      47.084      21.274      1.426       eq25
24X24       2.0         441.11      -116.25     162.715     116.25      162.715     -119.75     -113.25     61.993      248.01      113.25      119.75      248.01      61.993      -121.75     -116.25     -111.25     37.691      162.715     274.23      111.25      116.25      121.75      274.23      162.715     37.691      1.567       eq25
24X24       5.5         375.16      -121.25     130.625     121.25      130.625     -124.25     -117.75     64.887      206.57      117.75      124.25      206.57      64.887      -126.75     -121.25     -115.25     40.61       130.625     229.09      115.25      121.25      126.75      229.09      130.625     40.61       1.877       eq25
24X24       10.0        295.42      -127.25     103.817     127.25      103.817     -130.25     -123.75     57.594      158.11      123.75      130.25      158.11      57.594      -132.75     -127.25     -121.25     40.0        103.817     175.29      121.25      127.25      132.75      175.29      103.817     40.0        2.046       eq25
24X24       15.0        256.08      -134.25     98.715      134.25      98.715      -138.25     -130.75     52.102      137.35      130.75      138.25      137.35      52.102      -141.25     -134.25     -127.75     38.319      98.715      151.465     127.75      134.25      141.25      151.465     98.715      38.319      2.335       eq25
24X24       20.0        189.95      -141.25     70.189      141.25      70.189      -145.25     -137.25     39.914      100.837     137.25      145.25      100.837     39.914      -147.75     -141.25     -134.25     32.034      70.189      110.825     134.25      141.25      147.75      110.825     70.189      32.034      2.027       eq25
24X24       25.0        /
24X24       28.5        116.64      -152.25     43.984      152.25      43.984      -156.25     -147.75     26.986      62.347      147.75      156.25      62.347      26.986      -159.25     -152.25     -144.75     21.642      43.984      67.082      144.75      152.25      159.25      67.082      43.984      21.642      1.467       eq25
