FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.373     -20.25      199.613     20.25       199.613     -23.0       -17.0       82.797      339.326     17.0        23.0        339.326     82.797      -25.25      -19.25      -14.75      34.029      247.949     387.692     14.75       19.25       25.25       387.692     247.949     34.029      0.374       eq25
04X04       5.5         372.665     -20.75      190.167     20.75       190.167     -24.0       -18.0       76.394      288.424     18.0        24.0        288.424     76.394      -26.25      -20.25      -14.75      36.505      209.981     345.191     14.75       20.25       26.25       345.191     209.981     36.505      0.572       eq25
04X04       10.0        273.452     -21.75      142.068     21.75       142.068     -25.0       -18.5       61.8        220.05      18.5        25.0        220.05      61.8        -28.25      -21.75      -15.75      25.644      142.068     251.777     15.75       21.75       28.25       251.777     142.068     25.644      0.674       eq25
04X04       15.0        211.303     -22.75      113.305     22.75       113.305     -27.0       -19.5       40.42       169.888     19.5        27.0        169.888     40.42       -28.25      -22.75      -17.25      29.287      113.305     190.683     17.25       22.75       28.25       190.683     113.305     29.287      0.694       eq25
04X04       20.0        151.185     -24.25      76.362      24.25       76.362      -28.0       -20.5       31.933      121.986     20.5        28.0        121.986     31.933      -30.25      -23.75      -19.25      19.034      83.366      131.084     18.25       23.75       30.25       136.217     83.366      19.034      0.593       eq25
04X04       25.0        109.438     -25.25      56.953      25.25       56.953      -29.0       -22.0       25.06       85.236      22.0        29.0        85.236      25.06       -31.75      -25.25      -19.25      13.871      56.953      98.302      19.25       25.25       31.75       98.302      56.953      13.871      0.491       eq25
04X04       28.5        88.69       -26.25      44.383      26.25       44.383      -29.5       -23.0       22.163      67.376      23.0        29.5        67.376      22.163      -32.75      -26.25      -20.75      11.225      44.383      77.231      20.75       26.25       32.75       77.231      44.383      11.225      0.419       eq25
07X07       2.0         431.775     -32.25      197.962     32.25       197.962     -35.0       -29.0       85.741      332.845     29.0        35.0        332.845     85.741      -37.25      -31.25      -26.75      38.114      244.387     380.106     26.75       31.25       37.25       380.106     244.387     38.114      0.609       eq25
07X07       5.5         388.121     -33.25      190.942     33.25       190.942     -37.0       -30.0       69.639      299.73      30.0        37.0        299.73      69.639      -39.25      -33.25      -27.75      37.757      190.942     338.453     27.75       33.25       39.25       338.453     190.942     37.757      0.931       eq25
07X07       10.0        290.959     -34.75      148.597     34.75       148.597     -38.0       -32.0       69.903      215.024     32.0        38.0        215.024     69.903      -40.25      -34.75      -29.75      40.163      148.597     246.814     29.75       34.75       40.25       246.814     148.597     40.163      1.153       eq25
07X07       15.0        226.797     -36.75      113.428     36.75       113.428     -41.0       -33.5       45.126      170.371     33.5        41.0        170.371     45.126      -43.25      -36.75      -29.75      29.724      113.428     201.02      29.75       36.75       43.25       201.02      113.428     29.723      1.148       eq25
07X07       20.0        163.446     -38.75      80.123      38.75       80.123      -42.0       -35.0       41.577      124.69      35.0        42.0        124.69      41.577      -44.25      -38.75      -32.75      26.898      80.123      139.207     32.75       38.75       44.25       139.207     80.123      26.898      1.041       eq25
07X07       25.0        118.962     -40.25      62.016      40.25       62.016      -44.0       -36.5       30.71       92.143      36.5        44.0        92.143      30.71       -46.25      -39.75      -34.25      20.571      66.755      101.582     34.25       39.75       46.25       101.582     66.755      20.571      0.905       lt25
07X07       28.5        96.656      -41.75      48.26       41.75       48.26       -45.5       -38.5       24.21       70.481      38.5        45.5        70.481      24.21       -47.25      -40.75      -36.75      17.856      55.731      78.247      36.75       40.75       47.25       78.247      55.731      17.856      0.8         lt25
10X10       2.0         439.654     -47.75      206.207     47.75       206.207     -51.0       -45.0       80.261      314.047     45.0        51.0        314.047     80.261      -53.25      -47.25      -42.75      38.539      228.262     361.769     42.75       47.25       53.25       361.769     228.262     38.539      0.902       eq25
10X10       5.5         399.83      -49.75      185.972     49.75       185.972     -53.5       -46.0       71.82       299.758     46.0        53.5        299.758     71.82       -55.25      -49.25      -44.75      46.331      204.046     319.995     44.75       49.25       55.25       319.995     204.046     46.331      1.304       eq25
10X10       10.0        304.99      -52.25      142.683     52.25       142.683     -56.0       -48.5       62.369      223.575     48.5        56.0        223.575     62.369      -57.75      -51.75      -47.25      43.725      155.339     238.76      47.25       51.75       57.75       238.76      155.339     43.725      1.53        eq25
10X10       15.0        242.209     -54.75      119.55      54.75       119.55      -59.0       -51.5       52.553      172.025     51.5        59.0        172.025     52.553      -60.25      -55.75      -49.25      42.149      101.049     191.831     49.25       55.75       60.25       191.831     101.049     42.149      1.634       eq25
10X10       20.0        176.954     -57.75      84.73       57.75       84.73       -61.0       -54.5       47.499      122.206     54.5        61.0        122.206     47.499      -63.25      -57.75      -52.25      32.851      84.73       137.652     52.25       57.75       63.25       137.652     84.73       32.851      1.447       eq25
10X10       25.0        130.58      -60.25      65.416      60.25       65.416      -64.5       -57.0       32.406      91.107      57.0        64.5        91.107      32.406      -66.75      -60.25      -53.75      23.907      65.416      104.595     53.75       60.25       66.75       104.595     65.416      23.907      1.225       eq25
10X10       28.5        106.252     -62.25      51.865      62.25       51.865      -66.5       -59.0       26.26       72.848      59.0        66.5        72.848      26.26       -68.75      -61.25      -54.75      19.76       58.969      86.079      54.75       61.25       68.75       86.079      58.969      19.76       1.047       eq25
15X15       2.0         448.874     -71.75      193.898     71.75       193.898     -75.0       -69.0       79.37       290.595     69.0        75.0        290.595     79.37       -77.25      -72.75      -66.75      40.885      154.361     333.242     66.75       72.75       77.25       333.242     154.361     40.885      1.243       eq25
15X15       5.5         411.29      -74.75      172.995     74.75       172.995     -78.5       -71.5       70.588      266.284     71.5        78.5        266.284     70.588      -79.75      -74.25      -69.75      53.034      189.297     294.725     69.75       74.25       79.75       294.725     189.297     53.034      1.698       eq25
15X15       10.0        319.2       -78.25      140.772     78.25       140.772     -82.0       -75.5       66.314      197.703     75.5        82.0        197.703     66.314      -83.75      -77.75      -74.25      48.288      152.253     214.999     74.25       77.75       83.75       214.999     152.253     48.288      1.971       eq25
15X15       15.0        257.833     -82.25      115.905     82.25       115.905     -86.0       -79.5       60.233      157.755     79.5        86.0        157.755     60.233      -88.25      -81.75      -76.25      43.187      124.362     184.48      76.25       81.75       88.25       184.48      124.362     43.187      2.101       eq25
15X15       20.0        190.678     -86.75      82.118      86.75       82.118      -90.5       -83.0       45.136      120.571     83.0        90.5        120.571     45.136      -91.75      -86.25      -80.75      38.143      87.929      133.244     80.75       86.25       91.75       133.244     87.929      38.143      1.859       eq25
15X15       25.0        141.55      -90.75      62.316      90.75       62.316      -94.5       -87.0       35.964      89.057      87.0        94.5        89.057      35.964      -96.75      -90.25      -84.75      27.831      66.374      98.078      84.75       90.25       96.75       98.078      66.374      27.831      1.563       eq25
15X15       28.5        116.063     -93.75      49.509      93.75       49.509      -97.5       -90.0       29.155      71.439      90.0        97.5        71.439      29.155      -98.75      -94.25      -87.75      25.261      46.281      79.195      87.75       94.25       98.75       79.195      46.281      25.261      1.343       eq25
20X20       2.0         /
20X20       5.5         457.995     -99.75      182.026     99.75       182.026     -103.5      -97.0       78.78       260.991     97.0        103.5       260.991     78.78       -105.75     -100.25     -94.75      50.373      166.027     297.971     94.75       100.25      105.75      297.971     166.027     50.373      2.091       eq25
20X20       10.0        357.116     -104.75     142.028     104.75      142.028     -108.5      -101.5      70.19       205.702     101.5       108.5       205.702     70.19       -110.75     -104.25     -99.75      49.554      153.162     225.73      99.75       104.25      110.75      225.73      153.162     49.554      2.381       eq25
20X20       15.0        267.531     -110.25     108.323     110.25      108.323     -114.0      -107.0      58.845      151.87      107.0       114.0       151.87      58.845      -115.75     -110.75     -104.75     46.255      100.72      168.548     104.75      110.75      115.75      168.548     100.72      46.255      2.331       eq25
20X20       20.0        200.148     -115.75     81.747      115.75      81.747      -119.5      -112.0      47.316      115.118     112.0       119.5       115.118     47.316      -121.75     -116.25     -109.75     36.477      76.508      125.59      109.75      116.25      121.75      125.59      76.508      36.477      2.076       eq25
20X20       25.0        149.374     -121.25     61.44       121.25      61.44       -125.5      -118.0      35.066      82.597      118.0       125.5       82.597      35.066      -126.75     -121.25     -116.75     30.735      61.44       87.999      116.75      121.25      126.75      87.999      61.44       30.735      1.744       eq25
20X20       28.5        122.668     -125.25     48.572      125.25      48.572      -128.5      -121.5      31.925      68.031      121.5       128.5       68.031      31.925      -129.75     -125.25     -117.75     27.762      48.572      77.496      117.75      125.25      129.75      77.496      48.572      27.762      1.493       eq25
24X24       2.0         /
24X24       5.5         460.437     -120.75     165.174     120.75      165.174     -124.0      -117.5      82.312      248.144     117.5       124.0       248.144     82.312      -126.25     -120.75     -115.25     52.932      165.174     278.542     115.25      120.75      126.25      278.542     165.174     52.932      2.253       eq25
24X24       10.0        360.212     -126.75     130.572     126.75      130.572     -130.5      -123.0      66.56       195.507     123.0       130.5       195.507     66.56       -132.75     -126.25     -120.75     48.506      140.638     214.693     120.75      126.25      132.75      214.693     140.638     48.506      2.488       eq25
24X24       15.0        270.985     -133.25     101.97      133.25      101.97      -137.0      -129.5      57.068      145.576     129.5       137.0       145.576     57.068      -139.25     -133.25     -128.25     43.525      101.97      153.845     128.25      133.25      139.25      153.845     101.97      43.525      2.42        eq25
24X24       20.0        203.694     -140.25     73.696      140.25      73.696      -144.0      -136.5      44.033      105.197     136.5       144.0       105.197     44.033      -145.25     -140.75     -134.25     38.393      69.012      115.565     134.25      140.75      145.25      115.565     69.012      38.393      2.123       eq25
24X24       25.0        152.528     -146.75     56.649      146.75      56.649      -150.0      -143.5      37.546      76.235      143.5       150.0       76.235      37.546      -152.25     -146.75     -142.25     29.862      56.649      81.375      142.25      146.75      152.25      81.375      56.649      29.862      1.783       eq25
