FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.212     -19.75      203.355     19.75       203.355     -23.0       -16.5       68.324      338.324     16.5        23.0        338.324     68.324      -25.25      -19.25      -14.75      27.766      227.491     373.989     14.75       19.25       25.25       373.989     227.491     27.766      0.335       eq25
04X04       5.5         325.262     -20.75      156.547     20.75       156.547     -24.0       -17.0       56.901      273.516     17.0        24.0        273.516     56.901      -25.25      -21.75      -15.75      37.057      120.692     293.229     15.75       21.75       25.25       293.229     120.692     37.057      0.491       eq25
04X04       10.0        240.46      -21.25      130.349     21.25       130.349     -24.5       -18.5       54.988      192.757     18.5        24.5        192.757     54.988      -26.75      -20.75      -17.25      28.249      143.228     210.103     17.25       20.75       26.75       210.103     143.228     28.249      0.591       eq25
04X04       15.0        196.294     -22.75      102.589     22.75       102.589     -26.5       -19.5       39.92       158.81      19.5        26.5        158.81      39.92       -28.75      -22.25      -17.75      22.852      112.372     175.489     17.75       22.25       28.75       175.489     112.372     22.852      0.639       eq25
04X04       20.0        140.451     -24.25      68.693      24.25       68.693      -27.5       -21.0       31.074      108.743     21.0        27.5        108.743     31.074      -29.75      -23.25      -17.25      18.139      82.129      130.145     17.25       23.25       29.75       130.145     82.129      18.139      0.546       eq25
04X04       25.0        101.079     -25.25      50.929      25.25       50.929      -29.0       -21.5       21.313      81.809      21.5        29.0        81.809      21.313      -30.25      -23.75      -19.75      15.896      64.759      89.822      19.75       23.75       30.25       89.822      64.759      15.896      0.453       eq25
04X04       28.5        81.851      -25.75      43.031      25.75       43.031      -29.5       -22.5       18.701      64.475      22.5        29.5        64.475      18.701      -31.75      -25.75      -18.75      11.538      43.031      75.969      18.75       25.75       31.75       75.969      43.031      11.538      0.389       eq25
07X07       2.0         416.622     -31.75      210.8       31.75       210.8       -35.0       -29.0       76.963      323.305     29.0        35.0        323.305     76.963      -37.25      -31.25      -26.75      33.571      233.929     370.238     26.75       31.25       37.25       370.238     233.929     33.571      0.574       eq25
07X07       5.5         342.653     -33.25      166.337     33.25       166.337     -37.0       -30.0       56.688      267.101     30.0        37.0        267.101     56.688      -38.25      -33.75      -28.75      39.503      148.578     289.358     28.75       33.75       38.25       289.358     148.578     39.503      0.831       eq25
07X07       10.0        256.946     -34.75      130.173     34.75       130.173     -38.5       -31.5       50.91       199.969     31.5        38.5        199.969     50.91       -39.75      -34.75      -29.25      37.388      130.173     223.844     29.25       34.75       39.75       223.844     130.173     37.388      1.04        eq25
07X07       15.0        212.885     -36.75      107.644     36.75       107.644     -40.5       -33.0       46.846      167.951     33.0        40.5        167.951     46.846      -42.75      -36.25      -31.75      29.769      117.117     178.973     31.75       36.25       42.75       178.973     117.117     29.769      1.087       eq25
07X07       20.0        152.683     -38.75      75.737      38.75       75.737      -42.5       -35.0       34.505      118.355     35.0        42.5        118.355     34.505      -43.75      -38.25      -32.75      27.051      82.266      131.524     32.75       38.25       43.75       131.524     82.266      27.051      0.975       eq25
07X07       25.0        110.822     -40.75      53.916      40.75       53.916      -44.0       -37.5       28.175      81.111      37.5        44.0        81.111      28.175      -46.25      -40.75      -33.75      18.818      53.916      96.806      33.75       40.75       46.25       96.806      53.916      18.818      0.84        lt25
07X07       28.5        89.913      -41.75      45.473      41.75       45.473      -45.5       -38.0       22.113      69.204      38.0        45.5        69.204      22.113      -47.25      -43.25      -36.25      16.361      34.871      75.482      36.25       43.25       47.25       75.482      34.871      16.361      0.743       lt25
10X10       2.0         424.799     -47.75      196.391     47.75       196.391     -51.0       -45.0       74.106      303.439     45.0        51.0        303.439     74.106      -53.25      -47.25      -42.75      35.513      217.99      351.476     42.75       47.25       53.25       351.476     217.99      35.513      0.862       eq25
10X10       5.5         354.647     -49.75      161.901     49.75       161.901     -53.0       -47.0       69.091      245.013     47.0        53.0        245.013     69.091      -55.25      -50.75      -44.75      39.299      129.244     284.193     44.75       50.75       55.25       284.193     129.244     39.299      1.185       eq25
10X10       10.0        271.364     -52.25      124.938     52.25       124.938     -55.5       -48.5       59.531      199.69      48.5        55.5        199.69      59.531      -57.75      -50.75      -47.25      37.708      159.253     213.176     47.25       50.75       57.75       213.176     159.253     37.708      1.389       eq25
10X10       15.0        224.981     -55.25      107.032     55.25       107.032     -59.0       -52.0       51.064      157.739     52.0        59.0        157.739     51.064      -60.75      -54.25      -49.75      37.689      124.291     177.753     49.75       54.25       60.75       177.753     124.291     37.689      1.549       eq25
10X10       20.0        162.887     -58.25      75.022      58.25       75.022      -61.5       -54.0       41.266      118.87      54.0        61.5        118.87      41.266      -63.75      -58.25      -52.75      29.188      75.022      126.09      52.75       58.25       63.75       126.09      75.022      29.188      1.351       eq25
10X10       25.0        119.707     -60.75      57.572      60.75       57.572      -64.0       -57.0       33.208      85.202      57.0        64.0        85.202      33.208      -66.25      -61.75      -55.25      23.736      49.267      92.685      55.25       61.75       66.25       92.685      49.267      23.736      1.138       eq25
10X10       28.5        97.106      -62.25      48.903      62.25       48.903      -66.0       -58.5       26.605      70.045      58.5        66.0        70.045      26.605      -68.25      -62.25      -56.25      19.443      48.903      76.718      56.25       62.25       68.25       76.718      48.903      19.443      0.984       eq25
15X15       2.0         433.019     -71.75      188.412     71.75       188.412     -75.0       -69.0       76.455      282.054     69.0        75.0        282.054     76.455      -77.25      -72.75      -66.75      39.364      149.832     322.637     66.75       72.75       77.25       322.637     149.832     39.364      1.197       eq25
15X15       5.5         364.149     -74.75      155.024     74.75       155.024     -78.0       -72.0       71.114      228.63      72.0        78.0        228.63      71.114      -80.25      -74.25      -69.75      42.929      169.796     262.546     69.75       74.25       80.25       262.546     169.796     42.929      1.557       eq25
15X15       10.0        283.245     -78.25      126.115     78.25       126.115     -82.0       -75.5       58.782      176.665     75.5        82.0        176.665     58.782      -83.75      -77.75      -73.25      43.022      136.419     200.227     73.25       77.75       83.75       200.227     136.419     43.022      1.795       eq25
15X15       15.0        242.964     -83.25      105.488     83.25       105.488     -87.0       -80.0       54.587      151.532     80.0        87.0        151.532     54.587      -88.75      -83.25      -77.75      42.318      105.488     169.923     77.75       83.25       88.75       169.923     105.488     42.318      2.009       eq25
15X15       20.0        179.367     -87.25      79.931      87.25       79.931      -91.5       -84.0       41.046      111.49      84.0        91.5        111.49      41.046      -92.75      -88.25      -81.75      35.154      69.061      124.063     81.75       88.25       92.75       124.063     69.061      35.154      1.792       eq25
15X15       25.0        132.615     -91.25      60.279      91.25       60.279      -95.0       -87.5       34.966      84.719      87.5        95.0        84.719      34.966      -97.25      -91.75      -85.25      26.916      56.452      92.434      85.25       91.75       97.25       92.434      56.452      26.916      1.504       eq25
