FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
15X15       15.0        270.356     -82.25      115.376     82.25       115.376     -86.0       -78.5       57.812      175.303     78.5        86.0        175.303     57.812      -87.75      -81.75      -76.25      44.577      124.539     193.588     76.25       81.75       87.75       193.588     124.539     44.577      2.169       eq25
15X15       20.0        200.014     -86.25      87.232      86.25       87.232      -90.0       -82.5       46.879      128.632     82.5        90.0        128.632     46.879      -92.25      -87.75      -81.25      35.256      68.804      136.891     81.25       87.75       92.25       136.891     68.804      35.256      1.94        eq25
15X15       25.0        149.43      -90.25      66.407      90.25       66.407      -94.0       -86.5       37.343      95.526      86.5        94.0        95.526      37.343      -96.25      -90.75      -85.25      28.664      61.928      101.42      85.25       90.75       96.25       101.42      61.928      28.664      1.644       eq25
15X15       28.5        121.479     -92.75      56.382      92.75       56.382      -97.0       -90.0       30.45       74.018      90.0        97.0        74.018      30.45       -98.25      -92.75      -86.25      26.275      56.382      86.561      86.25       92.75       98.25       86.561      56.382      26.275      1.412       eq25
20X20       2.0         483.909     -95.75      195.682     95.75       195.682     -99.0       -93.0       82.624      289.058     93.0        99.0        289.058     82.624      -101.25     -95.25      -90.75      44.055      214.996     328.262     90.75       95.25       101.25      328.262     214.996     44.055      1.529       eq25
20X20       5.5         480.993     -99.25      192.859     99.25       192.859     -103.0      -96.0       81.254      289.239     96.0        103.0       289.239     81.254      -105.25     -98.75      -94.25      51.079      209.971     316.937     94.25       98.75       105.25      316.937     209.971     51.079      2.198       eq25
20X20       10.0        373.45      -104.25     149.644     104.25      149.644     -108.0      -100.5      71.682      225.062     100.5       108.0       225.062     71.682      -110.25     -103.75     -98.75      50.194      161.632     242.715     98.75       103.75      110.25      242.715     161.632     50.194      2.476       eq25
20X20       15.0        280.058     -109.75     112.492     109.75      112.492     -113.5      -106.5      59.519      159.884     106.5       113.5       159.884     59.519      -115.25     -110.75     -104.75     46.707      96.222      175.069     104.75      110.75      115.25      175.069     96.222      46.707      2.429       eq25
20X20       20.0        208.79      -115.25     84.445      115.25      84.445      -119.0      -111.5      47.718      120.858     111.5       119.0       120.858     47.718      -121.25     -114.75     -107.75     36.984      90.097      136.471     107.75      114.75      121.25      136.471     90.097      36.984      2.16        eq25
20X20       25.0        156.461     -120.75     63.256      120.75      63.256      -124.5      -117.0      37.607      89.274      117.0       124.5       89.274      37.607      -127.25     -121.25     -114.25     28.852      59.284      98.863      114.25      121.25      127.25      98.863      59.284      28.852      1.818       eq25
20X20       28.5        128.23      -124.25     52.696      124.25      52.696      -128.0      -121.0      31.981      70.998      121.0       128.0       70.998      31.981      -129.75     -124.25     -117.25     26.551      52.696      81.388      117.25      124.25      129.75      81.388      52.696      26.551      1.652       lt25
24X24       2.0         /
24X24       5.5         486.494     -120.25     177.802     120.25      177.802     -124.0      -116.5      76.583      276.102     116.5       124.0       276.102     76.583      -125.75     -120.75     -114.25     53.891      161.986     302.143     114.25      120.75      125.75      302.143     161.986     53.891      2.341       eq25
24X24       10.0        379.804     -126.25     139.059     126.25      139.059     -130.0      -122.5      68.542      209.406     122.5       130.0       209.406     68.542      -131.75     -127.75     -120.25     52.375      106.704     228.987     120.25      127.75      131.75      228.987     106.704     52.375      2.604       eq25
24X24       15.0        286.886     -132.75     107.744     132.75      107.744     -137.0      -129.5      54.668      150.787     129.5       137.0       150.787     54.668      -138.75     -133.75     -126.25     44.695      92.808      171.152     126.25      133.75      138.75      171.152     92.808      44.695      2.54        eq25
24X24       20.0        214.971     -139.25     83.083      139.25      83.083      -143.0      -136.0      48.604      112.32      136.0       143.0       112.32      48.604      -145.25     -139.25     -134.25     37.804      83.083      121.631     134.25      139.25      145.25      121.631     83.083      37.804      2.574       lt25
24X24       25.0        161.584     -146.25     59.838      146.25      59.838      -150.0      -143.0      36.529      81.426      143.0       150.0       81.426      36.529      -151.75     -145.75     -139.25     30.776      63.508      93.88       139.25      145.75      151.75      93.88       63.508      30.776      1.88        eq25
24X24       28.5        132.611     -150.75     48.139      150.75      48.139      -154.0      -146.5      31.899      69.402      146.5       154.0       69.402      31.899      -178.75     -151.75     -144.25     15.571      42.504      75.282      144.25      151.75      178.75      75.282      42.504      15.571      1.618       eq25
